Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,genetic_status of founder line
RRES14_BnaDFFS001,RRES,2014,BnaDFFS001,AMBER X COMMANCHE DH LINE,DH
RRES14_BnaDFS002,RRES,2014,BnaDFS002,APEX,DH
RRES14_BnaDFFS003,RRES,2014,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,DH
RRES14_BnaDFFS004,RRES,2014,BnaDFFS004,BIENVENU DH4,unknown
RRES14_BnaDFFS005,RRES,2014,BnaDFFS005,BRYAN x FORTRESS DH LINE,DH
RRES14_BnaDFFS006,RRES,2014,BnaDFFS006,CANBERRA x COURAGE DH LINE,Backcross
RRES14_BnaDFFS007,RRES,2014,BnaDFFS007,CAPRICORN DH1,DH
RRES14_BnaDFFS008,RRES,2014,BnaDFFS008,COLUMBUS X NICKEL DH LINE,DH
RRES14_BnaDFFS009,RRES,2014,BnaDFFS009,DARMOR,DH
RRES14_BnaDFFS010,RRES,2014,BnaDFFS010,HANSEN X GASPARD DH LINE,unknown
RRES14_BnaDFFS011,RRES,2014,BnaDFFS011,INCA X  CONTACT  DH LINE,DH
RRES14_BnaDFFS012,RRES,2014,BnaDFFS012,MADRIGAL x RECITAL DH LINE,DH
RRES14_BnaDFFS013,RRES,2014,BnaDFFS013,MAJOR DH,DH
RRES14_BnaDFFS014,RRES,2014,BnaDFFS014,NINGYOU 7,DH
RRES14_BnaDFFS015,RRES,2014,BnaDFFS015,RAFAL DH1,DH
RRES14_BnaDFFS016,RRES,2014,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,DH
RRES14_BnaDFFS017,RRES,2014,BnaDFFS017,SAMOURAI,DH
RRES14_BnaDFFS018,RRES,2014,BnaDFFS018,TAPIDOR DH,DH
RRES14_BnaDFFS019,RRES,2014,BnaDFFS019,TEQUILLA x ARAGON DH LINE,DH
RRES14_BnaDFS020,RRES,2014,BnaDFS020,BALTIA,DH
RRES14_BnaDFS021,RRES,2014,BnaDFS021,EUROL,DH
RRES14_BnaDFS022,RRES,2014,BnaDFS022,JET NEUF,DH
