Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
U.Nottm15_BnaDFFS001,University of Nottingham,2015,BnaDFFS001,Amber X Commanche,Winter OSR
U.Nottm15_BnaDFFS002,University of Nottingham,2015,BnaDFS002,Apex,Winter OSR
U.Nottm15_BnaDFFS003,University of Nottingham,2015,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
U.Nottm15_BnaDFFS004,University of Nottingham,2015,BnaDFFS004,Bienvenu,Winter OSR
U.Nottm15_BnaDFFS005,University of Nottingham,2015,BnaDFFS005,Bryan X Fortress ,Winter OSR
U.Nottm15_BnaDFFS006,University of Nottingham,2015,BnaDFFS006,Canberra X Courage ,Winter OSR
U.Nottm15_BnaDFFS007,University of Nottingham,2015,BnaDFFS007,Capricorn,Winter OSR
U.Nottm15_BnaDFFS008,University of Nottingham,2015,BnaDFFS008,Columbus X Nickel ,Winter OSR
U.Nottm15_BnaDFFS009,University of Nottingham,2015,BnaDFFS009,Darmor,Winter OSR
U.Nottm15_BnaDFFS010,University of Nottingham,2015,BnaDFFS010,Hansen X Gaspard,Winter OSR
U.Nottm15_BnaDFFS011,University of Nottingham,2015,BnaDFFS011,Inca X  Contact,Winter OSR
U.Nottm15_BnaDFFS012,University of Nottingham,2015,BnaDFFS012,Madrigal X Recital,Winter OSR
U.Nottm15_BnaDFFS013,University of Nottingham,2015,BnaDFFS013,Major,Winter OSR
U.Nottm15_BnaDFFS014,University of Nottingham,2015,BnaDFFS014,Ningyou 7,Winter OSR
U.Nottm15_BnaDFFS015,University of Nottingham,2015,BnaDFFS015,Rafal Dh1,Winter OSR
U.Nottm15_BnaDFFS016,University of Nottingham,2015,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
U.Nottm15_BnaDFFS017,University of Nottingham,2015,BnaDFFS017,Samourai,Winter OSR
U.Nottm15_BnaDFFS018,University of Nottingham,2015,BnaDFFS018,Tapidor,Winter OSR
U.Nottm15_BnaDFFS019,University of Nottingham,2015,BnaDFFS019,Tequilla X Aragon,Winter OSR
