sample_id,sample,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,days.to.flowering,number.of.first.branch,Lower stem length
p_028,28,1,1,1,46,U.Nottm14_BnaDFFS001,University of Nottingham,Amber X Commanche  ,199,10,163.84
p_009,9,2,2,2,47,U.Nottm14_BnaDFFS001,University of Nottingham,Amber X Commanche  ,205,8,237.81
p_066,66,1,3,3,48,U.Nottm14_BnaDFFS001,University of Nottingham,Amber X Commanche  ,204,9,114.45
p_003,3,2,1,4,49,U.Nottm14_BnaDFS002,University of Nottingham,Apex,202,10,69.02
p_014,14,1,2,5,50,U.Nottm14_BnaDFS002,University of Nottingham,Apex,202,9,93.25
p_023,23,2,3,6,51,U.Nottm14_BnaDFS002,University of Nottingham,Apex,201,10,68.38
p_027,27,2,1,7,52,U.Nottm14_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,201,8,57.68
p_031,31,1,2,1,53,U.Nottm14_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,201,8,55.07
p_032,32,2,3,2,54,U.Nottm14_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,201,10,94.55
p_042,42,2,1,3,55,U.Nottm14_BnaDFFS004,University of Nottingham,Bienvenu 4,201,9,83.23
p_043,43,1,2,4,56,U.Nottm14_BnaDFFS004,University of Nottingham,Bienvenu 4,197,7,71.04
p_056,56,1,3,5,27,U.Nottm14_BnaDFFS004,University of Nottingham,Bienvenu 4,197,10,90.25
p_065,65,2,1,6,28,U.Nottm14_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,197,9,60.15
p_005,5,2,2,7,29,U.Nottm14_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,196,6,53.9
p_010,10,1,3,1,30,U.Nottm14_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,193,10,87.38
p_019,19,1,1,2,31,U.Nottm14_BnaDFFS006,University of Nottingham,Canberra X Courage  ,194,9,67.74
p_022,22,1,2,3,32,U.Nottm14_BnaDFFS006,University of Nottingham,Canberra X Courage  ,205,8,90.36
p_030,30,1,3,4,33,U.Nottm14_BnaDFFS006,University of Nottingham,Canberra X Courage  ,205,9,61.53
p_033,33,2,1,5,34,U.Nottm14_BnaDFFS007,University of Nottingham,Capricorn 1,195,10,87.73
p_041,41,2,2,6,35,U.Nottm14_BnaDFFS007,University of Nottingham,Capricorn 1,199,10,90.25
p_044,44,1,3,7,36,U.Nottm14_BnaDFFS007,University of Nottingham,Capricorn 1,205,10,66.23
p_052,52,2,1,1,37,U.Nottm14_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,204,8,128.59
p_061,61,2,2,2,64,U.Nottm14_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,202,10,71.61
p_064,64,1,3,3,1,U.Nottm14_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,202,9,81.1
p_015,15,1,1,4,2,U.Nottm14_BnaDFFS009,University of Nottingham,Darmor,201,10,52.41
p_026,26,2,2,5,3,U.Nottm14_BnaDFFS009,University of Nottingham,Darmor,201,8,53.26
p_057,57,1,3,6,4,U.Nottm14_BnaDFFS009,University of Nottingham,Darmor,201,9,54.01
p_001,1,1,1,7,5,U.Nottm14_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,201,10,62.83
p_006,6,1,2,1,6,U.Nottm14_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,201,9,72.98
p_011,11,1,3,2,7,U.Nottm14_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,197,10,53.79
p_016,16,2,1,3,8,U.Nottm14_BnaDFFS011,University of Nottingham,Inca X  Contact   ,197,8,74.39
p_020,20,2,2,4,9,U.Nottm14_BnaDFFS011,University of Nottingham,Inca X  Contact   ,197,8,50.76
p_029,29,1,3,5,65,U.Nottm14_BnaDFFS011,University of Nottingham,Inca X  Contact   ,196,10,55.51
p_053,53,1,1,6,10,U.Nottm14_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,199,9,63.5
p_058,58,1,2,7,11,U.Nottm14_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,205,7,45.81
p_062,62,1,3,1,12,U.Nottm14_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,204,10,63.23
