Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
RRES14_BnaDFFS001,RRES,2014,BnaDFFS001,Amber X Commanche,Winter OSR
RRES14_BnaDFS002,RRES,2014,BnaDFS002,Apex,Winter OSR
RRES14_BnaDFFS003,RRES,2014,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
RRES14_BnaDFFS004,RRES,2014,BnaDFFS004,Bienvenu,Winter OSR
RRES14_BnaDFFS005,RRES,2014,BnaDFFS005,Bryan X Fortress ,Winter OSR
RRES14_BnaDFFS006,RRES,2014,BnaDFFS006,Canberra X Courage ,Winter OSR
RRES14_BnaDFFS007,RRES,2014,BnaDFFS007,Capricorn,Winter OSR
RRES14_BnaDFFS008,RRES,2014,BnaDFFS008,Columbus X Nickel ,Winter OSR
RRES14_BnaDFFS009,RRES,2014,BnaDFFS009,Darmor,Winter OSR
RRES14_BnaDFFS010,RRES,2014,BnaDFFS010,Hansen X Gaspard,Winter OSR
RRES14_BnaDFFS011,RRES,2014,BnaDFFS011,Inca X  Contact,Winter OSR
RRES14_BnaDFFS012,RRES,2014,BnaDFFS012,Madrigal X Recital,Winter OSR
RRES14_BnaDFFS013,RRES,2014,BnaDFFS013,Major,Winter OSR
RRES14_BnaDFFS014,RRES,2014,BnaDFFS014,Ningyou 7,Winter OSR
RRES14_BnaDFFS015,RRES,2014,BnaDFFS015,Rafal Dh1,Winter OSR
RRES14_BnaDFFS016,RRES,2014,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
RRES14_BnaDFFS017,RRES,2014,BnaDFFS017,Samourai,Winter OSR
RRES14_BnaDFFS018,RRES,2014,BnaDFFS018,Tapidor,Winter OSR
RRES14_BnaDFFS019,RRES,2014,BnaDFFS019,Tequilla X Aragon,Winter OSR
