Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
JIC10_BnaDFFS001,JIC,2010,BnaDFFS001,Amber X Commanche,Winter OSR
JIC10_BnaDFS002,JIC,2010,BnaDFS002,Apex,Winter OSR
JIC10_BnaDFFS003,JIC,2010,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
JIC10_BnaDFFS004,JIC,2010,BnaDFFS004,Bienvenu,Winter OSR
JIC10_BnaDFFS005,JIC,2010,BnaDFFS005,Bryan X Fortress ,Winter OSR
JIC10_BnaDFFS006,JIC,2010,BnaDFFS006,Canberra X Courage ,Winter OSR
JIC10_BnaDFFS007,JIC,2010,BnaDFFS007,Capricorn,Winter OSR
JIC10_BnaDFFS008,JIC,2010,BnaDFFS008,Columbus X Nickel ,Winter OSR
JIC10_BnaDFFS009,JIC,2010,BnaDFFS009,Darmor,Winter OSR
JIC10_BnaDFFS010,JIC,2010,BnaDFFS010,Hansen X Gaspard,Winter OSR
JIC10_BnaDFFS011,JIC,2010,BnaDFFS011,Inca X  Contact,Winter OSR
JIC10_BnaDFFS012,JIC,2010,BnaDFFS012,Madrigal X Recital,Winter OSR
JIC10_BnaDFFS013,JIC,2010,BnaDFFS013,Major,Winter OSR
JIC10_BnaDFFS014,JIC,2010,BnaDFFS014,Ningyou 7,Winter OSR
JIC10_BnaDFFS015,JIC,2010,BnaDFFS015,Rafal Dh1,Winter OSR
JIC10_BnaDFFS016,JIC,2010,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
JIC10_BnaDFFS017,JIC,2010,BnaDFFS017,Samourai,Winter OSR
JIC10_BnaDFFS018,JIC,2010,BnaDFFS018,Tapidor,Winter OSR
JIC10_BnaDFFS019,JIC,2010,BnaDFFS019,Tequilla X Aragon,Winter OSR
